epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,59.7803,0.25487,0.41867,0.78841,0.99271,1,0.995,0.995,0.20701,0.32439,0.78636,0.0011486,0.0011486,0.0011486
45,60.6418,0.26729,0.41274,0.7925,0.98846,1,0.995,0.995,0.20927,0.32928,0.78408,0.0011288,0.0011288,0.0011288
46,61.5532,0.23556,0.38204,0.82912,0.98565,1,0.995,0.995,0.19667,0.35706,0.78298,0.001109,0.001109,0.001109
47,62.4514,0.20199,1.51479,0.68355,0.99018,1,0.995,0.9892,0.18994,0.31889,0.7817,0.0010892,0.0010892,0.0010892
48,63.2978,0.26458,0.456,0.79056,0.9957,1,0.995,0.9903,0.1865,0.29036,0.78308,0.0010694,0.0010694,0.0010694
49,64.1247,0.26257,0.40788,0.82519,0.99649,1,0.995,0.995,0.1893,0.27963,0.78338,0.0010496,0.0010496,0.0010496
50,65.1049,0.25768,0.40434,0.82296,0.99714,1,0.995,0.995,0.18955,0.29093,0.78187,0.0010298,0.0010298,0.0010298
51,65.9415,0.21733,0.75763,0.66598,0.99734,1,0.995,0.995,0.17793,0.28021,0.78083,0.00101,0.00101,0.00101
52,66.8304,0.24945,0.38413,0.78552,0.99714,1,0.995,0.995,0.1666,0.264,0.78046,0.0009902,0.0009902,0.0009902
53,67.6889,0.21875,0.36748,0.78848,0.99684,1,0.995,0.99054,0.16102,0.26396,0.78183,0.0009704,0.0009704,0.0009704
54,68.5185,0.22097,0.39661,0.79765,0.99642,1,0.995,0.99011,0.16083,0.27091,0.78175,0.0009506,0.0009506,0.0009506
55,69.38,0.24982,0.37594,0.81024,0.99642,1,0.995,0.995,0.17925,0.26555,0.78219,0.0009308,0.0009308,0.0009308
56,70.2409,0.2359,0.35043,0.76049,0.99674,1,0.995,0.995,0.19084,0.26291,0.7856,0.000911,0.000911,0.000911
57,71.093,0.19188,0.67,0.66682,0.99686,1,0.995,0.98939,0.17739,0.25848,0.78447,0.0008912,0.0008912,0.0008912
58,71.9362,0.22992,0.35166,0.80664,0.99713,1,0.995,0.995,0.15767,0.24129,0.78175,0.0008714,0.0008714,0.0008714
59,72.8617,0.20978,0.33672,0.77557,0.9973,1,0.995,0.995,0.16282,0.23478,0.78124,0.0008516,0.0008516,0.0008516
60,73.7807,0.23775,0.35253,0.82488,0.99729,1,0.995,0.98408,0.17481,0.24098,0.78139,0.0008318,0.0008318,0.0008318
61,74.6361,0.23169,0.35419,0.80038,0.99715,1,0.995,0.995,0.16376,0.22853,0.77895,0.000812,0.000812,0.000812
62,75.498,0.21107,0.33846,0.7968,0.99713,1,0.995,0.995,0.14831,0.21681,0.77897,0.0007922,0.0007922,0.0007922
63,76.3619,0.20598,0.30903,0.80088,0.9972,1,0.995,0.995,0.15178,0.21863,0.78019,0.0007724,0.0007724,0.0007724
64,77.2412,0.21347,0.32997,0.77393,0.99746,1,0.995,0.995,0.14041,0.20954,0.7805,0.0007526,0.0007526,0.0007526
65,78.1265,0.2267,0.32781,0.78048,0.99751,1,0.995,0.995,0.14291,0.19808,0.78137,0.0007328,0.0007328,0.0007328
66,78.9987,0.21622,0.32384,0.80659,0.99754,1,0.995,0.995,0.15327,0.21053,0.78202,0.000713,0.000713,0.000713
67,79.864,0.20286,0.30678,0.77852,0.9975,1,0.995,0.995,0.13661,0.19244,0.78094,0.0006932,0.0006932,0.0006932
68,80.7312,0.19174,0.29239,0.79315,0.99743,1,0.995,0.99078,0.15363,0.21455,0.7824,0.0006734,0.0006734,0.0006734
69,81.5582,0.2386,0.33956,0.81067,0.99738,1,0.995,0.99054,0.15205,0.20468,0.78229,0.0006536,0.0006536,0.0006536
70,82.4055,0.17105,0.64585,0.65464,0.99709,1,0.995,0.995,0.14912,0.21174,0.77988,0.0006338,0.0006338,0.0006338
71,83.2631,0.18785,0.31366,0.78871,0.99718,1,0.995,0.995,0.15639,0.21219,0.78059,0.000614,0.000614,0.000614
72,84.1373,0.19332,0.29835,0.78687,0.99741,1,0.995,0.995,0.15889,0.20763,0.78353,0.0005942,0.0005942,0.0005942
73,84.9757,0.21197,0.31815,0.78563,0.99751,1,0.995,0.995,0.15455,0.1885,0.78201,0.0005744,0.0005744,0.0005744
74,85.8749,0.22826,0.35094,0.81047,0.99743,1,0.995,0.995,0.14551,0.18503,0.77827,0.0005546,0.0005546,0.0005546
75,86.7328,0.17786,0.29718,0.72943,0.99742,1,0.995,0.995,0.15622,0.19148,0.77747,0.0005348,0.0005348,0.0005348
76,87.5938,0.2017,0.30292,0.80194,0.99726,1,0.995,0.995,0.15417,0.19852,0.77906,0.000515,0.000515,0.000515
77,88.4615,0.20828,0.29506,0.76965,0.99721,1,0.995,0.995,0.14219,0.19917,0.77903,0.0004952,0.0004952,0.0004952
78,89.3566,0.18902,0.28935,0.7828,0.997,1,0.995,0.995,0.14297,0.19368,0.77891,0.0004754,0.0004754,0.0004754
79,90.178,0.2027,0.28325,0.78283,0.99678,1,0.995,0.995,0.15703,0.19446,0.77799,0.0004556,0.0004556,0.0004556
80,91.0568,0.21014,0.29584,0.78596,0.99628,1,0.995,0.995,0.1536,0.18484,0.7786,0.0004358,0.0004358,0.0004358
81,91.9458,0.18919,0.2806,0.78817,0.99594,1,0.995,0.995,0.14235,0.18631,0.77892,0.000416,0.000416,0.000416
82,92.805,0.15393,0.26477,0.79227,0.99523,1,0.995,0.995,0.13989,0.1785,0.77845,0.0003962,0.0003962,0.0003962
83,93.669,0.19038,0.27388,0.80004,0.99452,1,0.995,0.98921,0.14259,0.17541,0.77864,0.0003764,0.0003764,0.0003764
84,94.5432,0.1615,0.26964,0.8043,0.99376,1,0.995,0.98988,0.13824,0.1739,0.77818,0.0003566,0.0003566,0.0003566
85,95.396,0.16618,0.27597,0.77849,0.99357,1,0.995,0.995,0.13693,0.17042,0.77845,0.0003368,0.0003368,0.0003368
86,96.2802,0.18019,0.2669,0.80846,0.99349,1,0.995,0.98988,0.13277,0.16561,0.77761,0.000317,0.000317,0.000317
87,97.1157,0.18865,0.2843,0.78445,0.99289,1,0.995,0.98964,0.13186,0.17088,0.778,0.0002972,0.0002972,0.0002972
88,97.9944,0.15913,0.27565,0.7843,0.99227,1,0.995,0.98149,0.13857,0.17454,0.77861,0.0002774,0.0002774,0.0002774
89,98.8228,0.16919,0.27422,0.77989,0.99253,1,0.995,0.9885,0.13939,0.1787,0.77877,0.0002576,0.0002576,0.0002576
90,99.6751,0.19444,0.29282,0.79252,0.99386,1,0.995,0.9885,0.13075,0.16562,0.77822,0.0002378,0.0002378,0.0002378
